ANNO_ACCADEMICO;COD_ISTITUTO;TIPO_ISTITUTO;NOME_ISTITUTO;COMUNE_SEDE;CODICE_GETTITO;DESCRIZIONE_GETTITO;IMPORTO_CORSI_PREACCADEMICI;IMPORTO_CORSI_SUP_VO;IMPORTO_CORSI_ACCADEMICI_NO;IMPORTO_CORSI_ACCADEMICI_NO_POST
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;02a;Tasse per esami di ammissione ed esami finali;4668,64;0;12065,76;0
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;54036;0
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;04 ;Diritti di segreteria;690;0;2101;0
2024-2025;010401010025;Conservatori di Musica;Nicolò Paganini;GENOVA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;01a;Tasse e contributi per iscrizione e frequenza;305591;0;220837,5;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;02a;Tasse per esami di ammissione ed esami finali;600;0;23892;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;33680;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;04 ;Diritti di segreteria;600;0;21150;0
2024-2025;011401011015;Conservatori di Musica;Giacomo Puccini;LA SPEZIA;05 ;Altro da studenti non costituenti gettito;0;4285,5;0;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);01a;Tasse e contributi per iscrizione e frequenza;80103,71;0;159075,91;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);02a;Tasse per esami di ammissione ed esami finali;6532,88;0;13564,32;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);03a;Tassa regionale per il DSU versata all'Istituto;0;0;16940;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);04 ;Diritti di segreteria;3500;0;6805,2;0
2024-2025;012401012070;Conservatori di Musica;Giacomo Puccini;GALLARATE (VA);05 ;Altro da studenti non costituenti gettito;672;0;2576;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;01a;Tasse e contributi per iscrizione e frequenza;49250;0;687281;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;02a;Tasse per esami di ammissione ed esami finali;10550;0;23450;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;49420;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;013401013075;Conservatori di Musica;Giuseppe Verdi;COMO;05 ;Altro da studenti non costituenti gettito;1260;0;3530;0
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;01a;Tasse e contributi per iscrizione e frequenza;237494,16;0;2368278,15;0
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;02a;Tasse per esami di ammissione ed esami finali;12750;1360;81714;1360
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;168280;0
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;015402015146;Conservatori di Musica;Giuseppe Verdi;MILANO;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;01a;Tasse e contributi per iscrizione e frequenza;84370,2;0;380680,5;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;02a;Tasse per esami di ammissione ed esami finali;2400;0;18650;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;36070;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;016401016024;Conservatori di Musica;Politecnico delle Arti Gaetano Donizetti - Giacomo Carrara di BERGAMO  (area musicale);BERGAMO;05 ;Altro da studenti non costituenti gettito;768;0;4662;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);01a;Tasse e contributi per iscrizione e frequenza;38882;0;190906;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);02a;Tasse per esami di ammissione ed esami finali;2128;0;7338;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);03a;Tassa regionale per il DSU versata all'Istituto;0;0;13020;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);04 ;Diritti di segreteria;0;0;1800;0
2024-2025;017401017065;Conservatori di Musica;Luca Marenzio (sezione staccata);BRESCIA - DARFO BOARIO TERME (BS);05 ;Altro da studenti non costituenti gettito;128;0;1429;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;01a;Tasse e contributi per iscrizione e frequenza;258896,82;0;400801,21;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;02a;Tasse per esami di ammissione ed esami finali;4371,36;0;17728,32;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;03a;Tassa regionale per il DSU versata all'Istituto;0;840;49420;840
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;04 ;Diritti di segreteria;1900;0;7200;0
2024-2025;017402017029;Conservatori di Musica;Luca Marenzio;BRESCIA;05 ;Altro da studenti non costituenti gettito;80;192;5984;192
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;01a;Tasse e contributi per iscrizione e frequenza;36040;0;270027,86;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;02a;Tasse per esami di ammissione ed esami finali;2598;0;8212;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;24500;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;04 ;Diritti di segreteria;245;0;1395;0
2024-2025;018401018110;Conservatori di Musica;Franco Vittadini;PAVIA;05 ;Altro da studenti non costituenti gettito;2704;0;4864;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;01a;Tasse e contributi per iscrizione e frequenza;0;0;111888;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;02a;Tasse per esami di ammissione ed esami finali;0;0;3527,5;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;13720;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;019401019036;Conservatori di Musica;Claudio Monteverdi;CREMONA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;01a;Tasse e contributi per iscrizione e frequenza;93455;0;214950,31;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;02a;Tasse per esami di ammissione ed esami finali;1425;0;2972,08;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;32620;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;04 ;Diritti di segreteria;1785,5;0;4777;0
2024-2025;020401020030;Conservatori di Musica;Lucio Campiani;MANTOVA;05 ;Altro da studenti non costituenti gettito;1155;0;1617;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;01a;Tasse e contributi per iscrizione e frequenza;38000;0;289397;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;02a;Tasse per esami di ammissione ed esami finali;423;0;694;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;54668;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;021401021008;Conservatori di Musica;Claudio Monteverdi;BOLZANO;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;01a;Tasse e contributi per iscrizione e frequenza;22157,77;0;144222,6;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;02a;Tasse per esami di ammissione ed esami finali;0;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;32210;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;04 ;Diritti di segreteria;0;0;0;0
2024-2025;022401022205;Conservatori di Musica;Francesco Antonio Bonporti;TRENTO;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);01a;Tasse e contributi per iscrizione e frequenza;15367,97;0;42737,8;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);02a;Tasse per esami di ammissione ed esami finali;211,4;0;967,16;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;8290;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);04 ;Diritti di segreteria;0;0;267,65;0
2024-2025;022402022153;Conservatori di Musica;Francesco A. Bonporti (sezione staccata);TRENTO - RIVA DEL GARDA (TN);05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;01a;Tasse e contributi per iscrizione e frequenza;137250;33200;204650;33200
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;02a;Tasse per esami di ammissione ed esami finali;1646;1400;6885;1400
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;68920;0
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;04 ;Diritti di segreteria;39920;0;132052;0
2024-2025;023401023091;Conservatori di Musica;Felice E. Dall'Abaco;VERONA;05 ;Altro da studenti non costituenti gettito;7474;0;7916;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;01a;Tasse e contributi per iscrizione e frequenza;39231;0,35;277297,65;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;02a;Tasse per esami di ammissione ed esami finali;3122;0;17073;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;65253;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;04 ;Diritti di segreteria;744;0;9700;0
2024-2025;024401024116;Conservatori di Musica;Arrigo Pedrollo;VICENZA;05 ;Altro da studenti non costituenti gettito;1248;0;6208;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);01a;Tasse e contributi per iscrizione e frequenza;39570,31;0;220350,96;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);02a;Tasse per esami di ammissione ed esami finali;5308,8;0;9630;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;49102;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);04 ;Diritti di segreteria;445;0;1021;0
2024-2025;026401026012;Conservatori di Musica;Agostino Steffani;CASTELFRANCO VENETO (TV);05 ;Altro da studenti non costituenti gettito;32;0;4784;0
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;01a;Tasse e contributi per iscrizione e frequenza;47666;22094;254611;22094
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;02a;Tasse per esami di ammissione ed esami finali;3012;324;10679;324
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;2232;32077;2232
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;04 ;Diritti di segreteria;200;0;1425;0
2024-2025;027402027042;Conservatori di Musica;Benedetto Marcello - Palazzo Pisani;VENEZIA;05 ;Altro da studenti non costituenti gettito;592;192;5360;192
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;01a;Tasse e contributi per iscrizione e frequenza;0;43654,27;499632;0
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;02a;Tasse per esami di ammissione ed esami finali;0;6583,72;27386;0
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;92628;0
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;04 ;Diritti di segreteria;0;1958;2490;0
2024-2025;028401028060;Conservatori di Musica;Cesare Pollini;PADOVA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);01a;Tasse e contributi per iscrizione e frequenza;73132,55;0;70589,56;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);02a;Tasse per esami di ammissione ed esami finali;1615,13;0;1624,29;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;26786;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);04 ;Diritti di segreteria;193,5;0;973,5;0
2024-2025;029401029001;Conservatori di Musica;Antonio Buzzolla;ADRIA (RO);05 ;Altro da studenti non costituenti gettito;1130,8;0;5838;0
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;01a;Tasse e contributi per iscrizione e frequenza;104640;35666;361855;35666
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;02a;Tasse per esami di ammissione ed esami finali;2109;950;25822;950
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;93558;0
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;04 ;Diritti di segreteria;3550;300;11062;300
2024-2025;029402029041;Conservatori di Musica;Francesco Venezze;ROVIGO;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;01a;Tasse e contributi per iscrizione e frequenza;92715,37;0;129339,84;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;02a;Tasse per esami di ammissione ed esami finali;410,72;0;579,96;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;03a;Tassa regionale per il DSU versata all'Istituto;0;0;25100;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;04 ;Diritti di segreteria;201;0;50;0
2024-2025;030401030129;Conservatori di Musica;Jacopo Tomadini;UDINE;05 ;Altro da studenti non costituenti gettito;3184;0;3424;0
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;01a;Tasse e contributi per iscrizione e frequenza;71712,64;18700;229551,72;18700
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;02a;Tasse per esami di ammissione ed esami finali;1460;0;6582;0
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;03a;Tassa regionale per il DSU versata all'Istituto;1000;780;51980,65;780
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;0;0
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;04 ;Diritti di segreteria;2160;30;16035;30
2024-2025;032401032006;Conservatori di Musica;Giuseppe Tartini;TRIESTE;05 ;Altro da studenti non costituenti gettito;3584;368;16832;368
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;01a;Tasse e contributi per iscrizione e frequenza;62127;0;407778,1;0
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;02a;Tasse per esami di ammissione ed esami finali;2650;0;7309,1;0
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;44520;0
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;04 ;Diritti di segreteria;60;0;180;0
2024-2025;033401033032;Conservatori di Musica;Giuseppe Nicolini;PIACENZA;05 ;Altro da studenti non costituenti gettito;1936;0;4208;0
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;01a;Tasse e contributi per iscrizione e frequenza;92212,5;94650;908154,69;94650
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;02a;Tasse per esami di ammissione ed esami finali;2005,08;2450;49555,12;2450
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;90020;0
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;04 ;Diritti di segreteria;8510,5;0;12352,77;0
2024-2025;034401034027;Conservatori di Musica;Arrigo Boito;PARMA;05 ;Altro da studenti non costituenti gettito;2016;0;15104;0
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);01a;Tasse e contributi per iscrizione e frequenza;194631,5;113866;123720,5;47500
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);02a;Tasse per esami di ammissione ed esami finali;2200;0;27934;0
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;27580;0
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);04 ;Diritti di segreteria;0;0;0;0
2024-2025;035402035033;Conservatori di Musica;;REGGIO EMILIA e CASTELNOVO NE' MONTI (RE);05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);01a;Tasse e contributi per iscrizione e frequenza;239945,6;0;172428,62;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);02a;Tasse per esami di ammissione ed esami finali;10020;0;25580;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;21700;0;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);04 ;Diritti di segreteria;0;0;0;0
2024-2025;036409036023;Conservatori di Musica;Orazio Vecchi - Antonio Tonelli;MODENA e CARPI (MO);05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;01a;Tasse e contributi per iscrizione e frequenza;106230;0;654616,88;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;02a;Tasse per esami di ammissione ed esami finali;9800;0;53453,9;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;142940;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;04 ;Diritti di segreteria;0;0;0;0
2024-2025;037402037006;Conservatori di Musica;Giovan B. Martini;BOLOGNA;05 ;Altro da studenti non costituenti gettito;0;0;0;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;01a;Tasse e contributi per iscrizione e frequenza;61727,15;0;221155,18;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;02a;Tasse per esami di ammissione ed esami finali;2500;0;9010;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;32200;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;04 ;Diritti di segreteria;240;0;6926,95;0
2024-2025;038401038008;Conservatori di Musica;Girolamo Frescobaldi;FERRARA;05 ;Altro da studenti non costituenti gettito;2916,91;0;10082,76;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;01a;Tasse e contributi per iscrizione e frequenza;56169,56;0;171749,5;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;02a;Tasse per esami di ammissione ed esami finali;910;0;11072;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;03b;Tassa regionale per il DSU versata all'ente regionale per il DSU o alla Regione;0;0;23688;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;04 ;Diritti di segreteria;1448;0;5978;0
2024-2025;039401039014;Conservatori di Musica;Giuseppe Verdi;RAVENNA;05 ;Altro da studenti non costituenti gettito;928;0;5792;0
2024-2025;040409040007;Conservatori di Musica;B. Maderna – G. Lettimi;CESENA (FC) e RIMINI;01a;Tasse e contributi per iscrizione e frequenza;7425;0;212343,64;0
2024-2025;040409040007;Conservatori di Musica;B. Maderna – G. Lettimi;CESENA (FC) e RIMINI;02a;Tasse per esami di ammissione ed esami finali;3150;0;2523,64;0
2024-2025;040409040007;Conservatori di Musica;B. Maderna – G. Lettimi;CESENA (FC) e RIMINI;03a;Tassa regionale per il DSU versata all'Istituto;0;0;0;0
