DATAFLOW,FREQ,CITTADINANZA,DURATA_DISOCCUPAZ,CLASSE_ETA,ITTER107,SESSO,TIPO_DATO,TITOLO_STUDIO,TIME_PERIOD,OBS_VALUE,BREAK,CONF_STATUS,OBS_PRE_BREAK,OBS_STATUS,BASE_PER,UNIT_MEAS,UNIT_MULT,METADATA_EN,METADATA_IT
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2018,16.575794,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2019,16.515523,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2020,15.777554,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2021,17.676414,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2022,15.373728,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2023,14.192897,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,2,UNEM_R,99,2024,12.194925,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2018,10.393248,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2019,11.373717,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2020,11.009031,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2021,13.786853,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2022,10.329555,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2023,9.091138,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,11,2024,8.145735,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2018,15.077493,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2019,14.395394,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2020,13.982641,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2021,14.56886,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2022,12.749819,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2023,12.626315,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,13,2024,10.866829,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2018,13.89336,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2019,13.959375,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2020,13.325554,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2021,14.657083,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2022,11.645083,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2023,10.889733,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,7,2024,10.106636,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2018,14.075179,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2019,13.883779,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2020,13.420688,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2021,14.520578,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2022,12.035583,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2023,11.458605,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,IT,9,UNEM_R,99,2024,10.198508,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2018,11.06407,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2019,9.389539,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2020,10.330249,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2021,11.223528,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2022,8.038979,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2023,7.578705,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,1,UNEM_R,99,2024,8.231209,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2018,15.451342,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2019,15.827206,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2020,14.933163,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2021,17.228212,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2022,14.023231,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2023,11.57293,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,2,UNEM_R,99,2024,10.055897,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2018,8.633778,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2019,10.675724,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2020,10.072481,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2021,12.508973,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2022,10.209164,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2023,7.700777,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,11,2024,6.793521,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2018,14.135104,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2019,13.10746,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2020,12.407849,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2021,13.38839,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2022,10.790575,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2023,9.745973,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,13,2024,9.337193,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2018,12.969012,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2019,11.312,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2020,12.685933,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2021,14.637951,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2022,10.40717,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2023,9.255509,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,7,2024,9.277664,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2018,13.000793,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2019,12.175551,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2020,12.248324,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2021,13.773887,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2022,10.574022,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2023,9.281992,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITC,9,UNEM_R,99,2024,8.986916,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2018,10.645555,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2019,9.540299,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2020,9.90253,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2021,9.563908,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2022,7.353935,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2023,7.054814,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,1,UNEM_R,99,2024,7.284667,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2018,16.387639,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2019,15.863782,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2020,15.204882,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2021,16.198645,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2022,13.138794,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2023,12.05385,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,2,UNEM_R,99,2024,10.721663,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2018,9.15595,,,,,,,,,
IT1:151_914(1.2),A,FRG,TOTAL,Y15-64,ITCD,9,UNEM_R,11,2019,10.459079,,,,,,,,,
