"Indicator 5: Top-level policies and measures for monitoring and reaching out to non-enrolled youth, 2024/2025 - Policy description and references/links",Unnamed: 1,Unnamed: 2
FR,"Community-based outreach for adolescents and young adults includes programmes like FOQUALE (i.e. Training-Qualification-Employment Networks), which coordinate school and partner efforts to provide personalised paths back to education or work. The Mission de lutte contre le décrochage scolaire (MLDS) and ""Return to School Structures"" support the reintegration of school dropouts, while the Campus des métiers et des qualifications (CMQ) enhances vocational training opportunities. ""Missions locales"" facilitate home visits and counselling to address dropouts' needs and ease re-enrollment. Financial assistance, such as mobility aid and the youth commitment contract (CEJ), helps overcome economic barriers to education. Youth mentorship programmes under ""1 jeune / 1 solution"" offer individualised support, with the ""1 jeune - 1 mentor"" plan launched in 2021 to boost youth autonomy. Awareness campaigns within this framework highlight training opportunities for school dropouts. Regular monitoring and reporting, through the interministerial information exchange system (SIEI) and drop-out follow-up and support platforms (PSAD), ensure comprehensive identification and intervention for youth dropping out of school.","https://eduscol.education.fr/4168/prevention-du-decrochage-scolaire
https://www.education.gouv.fr/bo/13/Hebdo14/MENE1306159C.htm 
https://www.education.gouv.fr/les-campus-des-metiers-et-des-qualifications-5075
https://www.legifrance.gouv.fr/codes/id/LEGIARTI000038901949
https://travail-emploi.gouv.fr/le-contrat-dengagement-jeune-cej
https://www.1jeune1solution.gouv.fr/mentorat
https://www.jeunes.gouv.fr/le-mentorat-310
https://www.territoireseducatifs09.org/actus_initiatives/lutte-contre-le-decrochage-scolaire-1-jeune-1-solution/
"
HR,"The National Youth Programme for 2023 to 2025 aims to enhance local and regional youth policies by providing financial grants to develop respective youth programmes. These projects will actively involve young people, especially those with fewer opportunities, in designing relevant measures and activities. The activities will also engage out-of-school youth. ",https://mdu.gov.hr/UserDocsImages/Direktorij%202/Slike%20od%20111.23/Dokumenti%20od%20111.23/Nacionalni%20program%20za%20mlade%202023-2025%20A4%20EN%20web..pdf
IT,"The orientation reform, Mission 4-C1, introduces orientation modules in secondary schools and a digital platform to link education, universities, and the labour market, helping students make informed choices and reducing dropout and NEET rates. These modules personalise and broaden study plans, integrating hands-on learning and extracurricular activities to explore students' skills and interests. Guidelines from the National Recovery and Resilience Plan (PNRR) aim to connect education cycles, support thoughtful choices, and reduce dropouts, enabling access to tertiary education. Collaborations with local communities, educational institutions, and the labour market support this networked process. Secondary schools offer 30-hour orientation modules yearly, documented in E-Portfolios and supported by digital platforms for teachers and families. The PNRR funds 15-hour orientation courses in upper secondary schools through university partnerships. Supported by the UNICA platform and national assessment by INVALSI, these initiatives align with the NEET Plan's phased approach to tackle youth inactivity, involving the Youth Guarantee, Youth Desks at Employment Centres, and the Universal Civil Service.","https://pnrr.istruzione.it/riforme/riforma-dellorientamento/
https://pnrr.istruzione.it/
https://unica.istruzione.gov.it/portale/it/home
https://invalsi-areaprove.cineca.it/docs/2024/Rilevazioni_Nazionali/Rapporto/Rapporto%20Prove%20INVALSI%202024.pdf"
CY,"Second chance evening schools are offered for citizens aged 19 and above, free of tuition or expenses. The Ministry of Labor maintains records of youth over 19 who have not completed upper secondary education. To support these individuals, the educational counseling services at the Ministry of Education work collaboratively with the Ministry of Labor to encourage enrollment in evening schools. This collaboration is legally supported; the Council of Ministers established the National Body for Lifelong Guidance in 2009, chaired by the Ministers of Education, Sports and Youth, and Labor and Social Insurance, to address the educational needs of these young citizens.","https://www.moec.gov.cy/foreas_kathodigisis/
"
LV,"The Youth International Programmes Agency leverages EU and municipal support to offer young people numerous project opportunities. It provides guidance on drafting projects, shares valuable information about European opportunities, and fosters experience exchanges. The Agency manages several EU programmes, such as ""Erasmus+"" for youth, the ""European Solidarity Corps,"" and oversees the European Commission's youth information network ""Eurodesk."" It also supports ""eTwinning,"" the national Youth Policy Programme, and projects like ""Development of the Digital Youth Work System in Local Governments"" and ""NAMELY and DO 2.0."" Continuing from previous EU funding periods, the ""NAMELY and DO 2.0 for NEET Youth"" project aims to enhance skills for individuals aged 15-29 who are not in education, employment, or training (NEET), encouraging their participation in educational and vocational activities, employment opportunities, or involvement with NGOs and youth centres.","https://jaunatne.gov.lv/par-agenturu/
https://jaunatne.gov.lv/projektu-konkursi/
https://jaunatne.gov.lv/par-agenturu/programmas-projekti/proti-un-dari-2/"
LT,"The community-based outreach includes the Multidimensional Family Therapy Programme, targeting behavioral issues in 11-17-year-olds to help reintegrate them into education and social norms. Home visits and counseling through case management provide comprehensive support to prevent rights violations. Preventive services, such as social skills development and family conferences, aim to strengthen family dynamics. ""Jungtys,"" a mentorship programme for 14-29-year-olds from 2024-2028, focuses on reducing youth inactivity by facilitating reentry into the labour market or education through personalised plans. Financial and material assistance ensures school transportation and covers costs for supplies and meals under the Law on Education and under the Law on Social Support for Students. Youth and community centers offer day social care to develop life skills. The Student Register and NEMIS system track uneducated children and dropouts to address their return to education.","https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.5884/asr
https://nemis.emokykla.lt/nemis/main.htm?execution=e3s1
https://sos-vaikukaimai.lt/veiklos/multidimensine-seimos-terapijos-mdft-programa/
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.26397/SIwTFWexsh
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.274453/asr
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.223790/asr
https://e-seimas.lrs.lt/portal/legalAct/lt/TAD/TAIS.270342/asr
https://jra.lrv.lt/lt/projektas-jungtys/"
LU,"The National Youth Service (SNJ) proactively monitors and engages school dropouts to encourage their reintegration into education or the workforce. By leveraging monthly dropout lists, agents reach out to young individuals for initial interviews, employing diverse communication methods if initial contact is unresponsive. SNJ offers tailored support and a variety of flexible, practical programmes, such as voluntary services, workshops, internships, orientation classes, and training, to help young people aged 16 to 30 gain experience and skills. The workshops, spread across three sites, attract a diverse group, including international protection beneficiaries, and focus on creative skills, such as woodworking and sewing. The SNJ also coordinates annual events like the ""Deng Zukunft, Däi Wee"" fair and the Engagement Evening, which connect youth with career opportunities and recognise their efforts in transition projects. A Dropout Report, developed in collaboration with the Ministry of National Education, provides systematic data analysis to effectively monitor and address dropout rates.","https://hey.snj.lu
https://men.public.lu/fr/publications/statistiques-etudes/statistiques-globales/jeunes-decrocheurs-22-23.html"
HU,:,:
MT,"Community-based outreach and youth and community centres are facilitated by Agenzija Zghazagh, a government agency focused on youth outreach and inclusion. While their services extend beyond just supporting unenrolled youth, they play a crucial role in youth development. Youth Cafes provide safe, alternative leisure spaces for individuals aged 13 to 25 to interact with peers, explore talents, and enhance personal and social skills. Youth Hubs offer a recreational setting where youth workers collaborate with young people on projects and initiatives to unlock their potential. Detached Youth Work involves youth workers engaging with young people in discussions and informing them about various opportunities and issues.",https://youth.gov.mt/out/
NL,"Together with schools and municipalities, the government is implementing measures to encourage students to return to education. As a result of the decentralized system,  top-level authorities primarily provide the financial backing, while the execution of most actions is carried out by schools and municipalities.",https://www.rijksoverheid.nl/onderwerpen/vsv/aanpak-voortijdig-schoolverlaten-vsv
AT,"The Compulsory Training Act (Ausbildungspflichtgesetz), introduced in 2016, mandates that all young people under 18 who have completed compulsory schooling and are permanently resident in Austria must continue with education or training. This obligation remains in effect until they reach 18 or successfully complete additional education or training. To ensure compliance, young people under 18 are monitored for enrollment in education or apprenticeship programmes. Youth Coaching is a supportive counselling programme designed for those finishing mandatory schooling or who have dropped out, offering personalised assistance to help them re-enter the educational system or secure an apprenticeship. Youth coaches also provide counselling for those who are not in education, employment, or training (NEET). ","https://ausbildungbis18.at/
https://www.neba.at/jugendcoaching
https://www.bmbwf.gv.at/Themen/schule/beratung/psus/jugendcoaching.html "
PL,"The Youth Employment Initiative (YEI), part of Poland’s Knowledge Education Development Programme, was funded by the European Social Fund (ESF), the Youth Employment Initiative (YEI) budget, and the state budget, with over EUR 5.4 billion allocated, including more than EUR 2 billion specifically for youth support. It aims to activate unemployed young people under 30 through vocational guidance, training, internships, apprenticeships, subsidised employment, business grants, and mobility support. Targeting regions with youth unemployment above 25%, support was extended nationwide to include those aged 15-29, particularly NEETs (Not in Employment, Education, or Training), benefiting around 700,000 young people. Additionally, the 2023-2024 “Time for the Young” pilot programme, backed by PLN 60 million from the Labour Fund, established 76 advisory centres offering vocational, psychological, educational, financial, and housing support. Implemented by the Ministry of Labour, Family and Social Policy, the initiative involved collaboration between labour offices, training institutions, NGOs, and social services to enhance youth employment and social inclusion.","https://www.power.gov.pl/strony/o-programie/zasady/co-mozna-zrealizowac/
https://power.wup-krakow.pl/o-programie/skorzystaj-z-inicjatywy-dla-mlodych
https://www.gov.pl/web/rodzina/nabor-na-projekty-pilotazowe-czas-na-mlodych--punkty-doradztwa-dla-mlodziezy"
PT,:,:
