freq,territorio,ind_type,measure,ordinescol,gest_scuola,time_period,obs_value,year
A,IT,REP,9,2,1,2010,8175.0,2010
A,IT,REP,9,2,1,2011,8601.0,2011
A,IT,REP,9,2,1,2012,7842.0,2012
A,IT,REP,9,2,1,2013,7014.0,2013
A,IT,REP,9,2,1,2014,9621.0,2014
A,IT,REP,9,2,1A,2010,7959.0,2010
A,IT,REP,9,2,1A,2011,8477.0,2011
A,IT,REP,9,2,1A,2012,7641.0,2012
A,IT,REP,9,2,1A,2013,6845.0,2013
A,IT,REP,9,2,1A,2014,9531.0,2014
A,IT,REP,9,2,1B,2010,216.0,2010
A,IT,REP,9,2,1B,2011,124.0,2011
A,IT,REP,9,2,1B,2012,201.0,2012
A,IT,REP,9,2,1B,2013,169.0,2013
A,IT,REP,9,2,1B,2014,90.0,2014
A,IT,REP,9,2,2,2010,600.0,2010
A,IT,REP,9,2,2,2011,565.0,2011
A,IT,REP,9,2,2,2012,454.0,2012
A,IT,REP,9,2,2,2013,333.0,2013
A,IT,REP,9,2,2,2014,532.0,2014
A,IT,REP,9,2,9,2010,8775.0,2010
A,IT,REP,9,2,9,2011,9166.0,2011
A,IT,REP,9,2,9,2012,8296.0,2012
A,IT,REP,9,2,9,2013,7347.0,2013
A,IT,REP,9,2,9,2014,10153.0,2014
A,IT,REP_F,9,2,1,2010,2732.0,2010
A,IT,REP_F,9,2,1,2011,3133.0,2011
A,IT,REP_F,9,2,1,2012,2796.0,2012
A,IT,REP_F,9,2,1,2013,2105.0,2013
A,IT,REP_F,9,2,1,2014,3748.0,2014
A,IT,REP_F,9,2,1A,2010,2670.0,2010
A,IT,REP_F,9,2,1A,2011,3091.0,2011
A,IT,REP_F,9,2,1A,2012,2730.0,2012
A,IT,REP_F,9,2,1A,2013,2048.0,2013
A,IT,REP_F,9,2,1A,2014,3711.0,2014
A,IT,REP_F,9,2,1B,2010,62.0,2010
A,IT,REP_F,9,2,1B,2011,42.0,2011
A,IT,REP_F,9,2,1B,2012,66.0,2012
A,IT,REP_F,9,2,1B,2013,57.0,2013
A,IT,REP_F,9,2,1B,2014,37.0,2014
A,IT,REP_F,9,2,2,2010,196.0,2010
A,IT,REP_F,9,2,2,2011,181.0,2011
A,IT,REP_F,9,2,2,2012,165.0,2012
A,IT,REP_F,9,2,2,2013,101.0,2013
A,IT,REP_F,9,2,2,2014,197.0,2014
A,IT,REP_F,9,2,9,2010,2928.0,2010
A,IT,REP_F,9,2,9,2011,3314.0,2011
A,IT,REP_F,9,2,9,2012,2961.0,2012
A,IT,REP_F,9,2,9,2013,2206.0,2013
A,IT,REP_F,9,2,9,2014,3945.0,2014
A,IT,FOR_ST,9,2,1,2010,239922.0,2010
A,IT,FOR_ST,9,2,1,2011,249568.0,2011
A,IT,FOR_ST,9,2,1,2012,263993.0,2012
A,IT,FOR_ST,9,2,1,2013,271241.0,2013
A,IT,FOR_ST,9,2,1,2014,275566.0,2014
A,IT,FOR_ST,9,2,1A,2010,234239.0,2010
A,IT,FOR_ST,9,2,1A,2011,244066.0,2011
A,IT,FOR_ST,9,2,1A,2012,257519.0,2012
A,IT,FOR_ST,9,2,1A,2013,264528.0,2013
A,IT,FOR_ST,9,2,1A,2014,271592.0,2014
A,IT,FOR_ST,9,2,1B,2010,5683.0,2010
A,IT,FOR_ST,9,2,1B,2011,5502.0,2011
A,IT,FOR_ST,9,2,1B,2012,6474.0,2012
A,IT,FOR_ST,9,2,1B,2013,6713.0,2013
A,IT,FOR_ST,9,2,1B,2014,3974.0,2014
A,IT,FOR_ST,9,2,2,2010,4535.0,2010
A,IT,FOR_ST,9,2,2,2011,5085.0,2011
A,IT,FOR_ST,9,2,2,2012,4762.0,2012
A,IT,FOR_ST,9,2,2,2013,4888.0,2013
A,IT,FOR_ST,9,2,2,2014,4897.0,2014
A,IT,FOR_ST,9,2,9,2010,244457.0,2010
A,IT,FOR_ST,9,2,9,2011,254653.0,2011
A,IT,FOR_ST,9,2,9,2012,268755.0,2012
A,IT,FOR_ST,9,2,9,2013,276129.0,2013
A,IT,FOR_ST,9,2,9,2014,280463.0,2014
A,IT,FOR_ST_F,9,2,1,2010,112965.0,2010
A,IT,FOR_ST_F,9,2,1,2011,118170.0,2011
A,IT,FOR_ST_F,9,2,1,2012,125366.0,2012
A,IT,FOR_ST_F,9,2,1,2013,130378.0,2013
A,IT,FOR_ST_F,9,2,1,2014,132554.0,2014
A,IT,FOR_ST_F,9,2,1A,2010,110338.0,2010
A,IT,FOR_ST_F,9,2,1A,2011,115616.0,2011
A,IT,FOR_ST_F,9,2,1A,2012,122286.0,2012
A,IT,FOR_ST_F,9,2,1A,2013,127138.0,2013
A,IT,FOR_ST_F,9,2,1A,2014,130607.0,2014
A,IT,FOR_ST_F,9,2,1B,2010,2627.0,2010
A,IT,FOR_ST_F,9,2,1B,2011,2554.0,2011
A,IT,FOR_ST_F,9,2,1B,2012,3080.0,2012
A,IT,FOR_ST_F,9,2,1B,2013,3240.0,2013
A,IT,FOR_ST_F,9,2,1B,2014,1947.0,2014
A,IT,FOR_ST_F,9,2,2,2010,2130.0,2010
A,IT,FOR_ST_F,9,2,2,2011,2423.0,2011
A,IT,FOR_ST_F,9,2,2,2012,2344.0,2012
A,IT,FOR_ST_F,9,2,2,2013,2517.0,2013
A,IT,FOR_ST_F,9,2,2,2014,2444.0,2014
A,IT,FOR_ST_F,9,2,9,2010,115095.0,2010
A,IT,FOR_ST_F,9,2,9,2011,120593.0,2011
A,IT,FOR_ST_F,9,2,9,2012,127710.0,2012
A,IT,FOR_ST_F,9,2,9,2013,132895.0,2013
A,IT,FOR_ST_F,9,2,9,2014,134998.0,2014
A,IT,TCHR,9,2,1A,2010,231392.0,2010
A,IT,TCHR,9,2,1A,2011,253894.0,2011
A,IT,TCHR,9,2,1A,2012,246438.0,2012
A,IT,TCHR,9,2,1A,2013,246874.0,2013
A,IT,TCHR,9,2,1A,2014,250202.0,2014
A,IT108,SCH,9,2,1,2010,145.0,2010
A,IT108,SCH,9,2,1,2011,145.0,2011
A,IT108,SCH,9,2,1,2012,144.0,2012
A,IT108,SCH,9,2,1,2013,143.0,2013
A,IT108,SCH,9,2,1,2014,143.0,2014
A,IT108,SCH,9,2,1A,2010,145.0,2010
A,IT108,SCH,9,2,1A,2011,145.0,2011
A,IT108,SCH,9,2,1A,2012,144.0,2012
A,IT108,SCH,9,2,1A,2013,143.0,2013
A,IT108,SCH,9,2,1A,2014,143.0,2014
A,IT108,SCH,9,2,2,2010,22.0,2010
A,IT108,SCH,9,2,2,2011,22.0,2011
A,IT108,SCH,9,2,2,2012,22.0,2012
A,IT108,SCH,9,2,2,2013,22.0,2013
A,IT108,SCH,9,2,2,2014,22.0,2014
A,IT108,SCH,9,2,9,2010,167.0,2010
A,IT108,SCH,9,2,9,2011,167.0,2011
A,IT108,SCH,9,2,9,2012,166.0,2012
A,IT108,SCH,9,2,9,2013,165.0,2013
A,IT108,SCH,9,2,9,2014,165.0,2014
A,IT108,CLSS,9,2,1,2010,1739.0,2010
A,IT108,CLSS,9,2,1,2011,1751.0,2011
A,IT108,CLSS,9,2,1,2012,1741.0,2012
A,IT108,CLSS,9,2,1,2013,1748.0,2013
A,IT108,CLSS,9,2,1,2014,1759.0,2014
A,IT108,CLSS,9,2,1A,2010,1739.0,2010
A,IT108,CLSS,9,2,1A,2011,1751.0,2011
A,IT108,CLSS,9,2,1A,2012,1741.0,2012
A,IT108,CLSS,9,2,1A,2013,1748.0,2013
A,IT108,CLSS,9,2,1A,2014,1759.0,2014
