query_slug,survey_year,years_after_graduation,disaggregation,table_index,section_title,measure,group_label,value_raw,value_numeric,source_url
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,Collettivo selezionato,"65,0",65.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,"Artistica, Letteraria ed Educazione","63,2",63.2,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,"Economica, Giuridica e Sociale","64,9",64.9,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,Sanitaria e Agro-Veterinaria,"65,5",65.5,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sul totale dei laureati,STEM,"66,3",66.3,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sui laureati contattabili,Collettivo selezionato,"69,0",69.0,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sui laureati contattabili,"Artistica, Letteraria ed Educazione","67,4",67.4,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sui laureati contattabili,"Economica, Giuridica e Sociale","69,1",69.1,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sui laureati contattabili,Sanitaria e Agro-Veterinaria,"68,5",68.5,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
almalaurea_occupazione_1yr_by_disciplinary_area,2024,1,disciplinary_area,1,1. Popolazione analizzata,Tasso di risposta sui laureati contattabili,STEM,"70,6",70.6,https://www2.almalaurea.it/cgi-php/universita/statistiche/visualizza.php?anno=2024&corstipo=tutti&ateneo=tutti&facolta=tutti&gruppo=tutti&livello=tutti&area4=tutti&pa=tutti&classe=tutti&postcorso=tutti&isstella=0&annolau=1&condocc=tutti&iscrls=tutti&macroareageo=tutti&areageografica=tutti&regione=tutti&dimensione=tutti&aggregacodicione=0&disaggregazione=area4&LANG=it&CONFIG=occupazione
