CODICESCUOLA,ANNOCORSO,SEZIONEANNO,TIPOGRADOSCUOLA,COMBINAZIONE,DISCIPLINA,CODICEISBN,AUTORI,TITOLO,SOTTOTITOLO,VOLUME,EDITORE,PREZZO,NUOVAADOZ,DAACQUIST,CONSIGLIATO
GE1E00900C,5,B,EE,24 ORE SETTIMANALI,SUSSIDIARIO DEI LINGUAGGI,9788835058311,"AA VV  ",AVVENTURA DEI LINGUAGGI 5 KIT (L'),ND,2,LA SCUOLA EDITRICE,"20,96",No,Si,No
GE1E00900C,2,B,EE,24 ORE SETTIMANALI,RELIGIONE,9788851911065,"AGLIOCCHI CARLA - BASILE CATERINA ",IL SENTIERO FIORITO,VOLUME 1° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
GE1E00900C,2,B,EE,24 ORE SETTIMANALI,LINGUA INGLESE,9788847242470,"AA VV  ",HELLO WORLD 2,ND,2,CELTIC PUBLISHING,"6,03",No,Si,No
GE1E00900C,2,B,EE,24 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846844521,"AA VV  ",NUOVA FESTA A SORPRESA 2,ND,2,LA SPIGA,"18,69",No,Si,No
GE1E01000L,1,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,RELIGIONE,9788846845283,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 1-2-3 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
GE1E01000L,1,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9781292480374,"AA VV  ",MY DISNEY STARS AND HEROES LEVEL 1 STUDENT'S PACK,ND,1,PEARSON LONGMAN,"4,02",Si,Si,No
GE1E01000L,2,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
GE1E01000L,2,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO (1° BIENNIO),9788847307551,"RESTAURI SIMONA - SANSONETTI EMILIA ",PEPPER 2,ND,2,CETEM,"18,69",Si,Si,No
GE1E01000L,3,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO (1° BIENNIO),9788847307155,"AA VV  ",SI PUO' FARE 3,ND,3,CETEM,"26,71",No,Si,No
GE1E01000L,3,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9788883398216,"AA  VV  ",GO KIDS GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01000L,3,B,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9788883398216,"AA  VV  ",GO KIDS GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01000L,3,B,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO (1° BIENNIO),9788847307155,"AA VV  ",SI PUO' FARE 3,ND,3,CETEM,"26,71",No,Si,No
GE1E01000L,4,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,RELIGIONE,9788846845290,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 4-5 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
GE1E01000L,4,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9788883398223,"AA  VV  ",GO KIDS GOLD 4,ND,1,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01000L,4,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO DEI LINGUAGGI,9788847307391,STANO LAURA - ZAMPIGHI FLAVIA - BENELLI MARIA ROSA,NEL CUORE DELLE PAROLE 4,ND,1,CETEM,"17,28",Si,Si,No
GE1E01000L,5,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788842618898,"AA VV  ",SFOGLIAMONDO DISCIPLINE 5 KIT SCIENTIFICO,ND,2,IL CAPITELLO,"12,50",No,Si,No
GE1E01000L,5,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO DEI LINGUAGGI,9788847239210,GENTILE PAOLA - CANTILLO VINCENZA - GENTILE MARIA LARA,SCOPRO LEGGENDO 5,ND,2,RAFFAELLO,"20,96",No,Si,No
GE1E01000L,5,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,LINGUA INGLESE,9788883398230,"AA  VV  ",GO KIDS GOLD 5,ND,2,PEARSON LONGMAN,"10,08",No,Si,No
GE1E01000L,5,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788842618881,"AA VV  ",SFOGLIAMONDO DISCIPLINE 5 KIT ANTROPOLOGICO,ND,2,IL CAPITELLO,"12,50",No,Si,No
GE1E01000L,1,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,IL LIBRO DELLA PRIMA CLASSE,9788846844514,"AA VV  ",NUOVA FESTA A SORPRESA 1 METODO 4 CARATTERI,ND,1,LA SPIGA,"13,34",Si,Si,No
GE1E01000L,4,A,EE,27 ORE CURRICOLARI + 1 ORA OPZIONALE,SUSSIDIARIO DELLE DISCIPLINE,9788847307452,"AA VV  ",NEL CUORE DEI SAPERI UNICO 4,ND,1,CETEM,"21,46",Si,Si,No
GE1E01500Q,1,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788851911065,"AGLIOCCHI CARLA - BASILE CATERINA ",IL SENTIERO FIORITO,VOLUME 1° CICLO,U,PIEMME SCUOLA,"8,19",No,Si,No
GE1E01500Q,1,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883397073,"AA VV  ",BILLY BOT GOLD 1,ND,1,PEARSON LONGMAN,"4,02",No,Si,No
GE1E01500Q,1,A,EE,CORSO A ORARIO ORDINARIO,IL LIBRO DELLA PRIMA CLASSE,9788847248564,"MORGESE ROBERTO  ",COLIBRI' 1 METODO A STAMPATO,ND,1,RAFFAELLO,"13,34",Si,Si,No
GE1E01500Q,2,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883397080,"AA VV  ",BILLY BOT GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
GE1E01500Q,2,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847239180,ALTAMORE CAROLINA - FOCANTE MAILA - BERNABE' TIZIANA,AMICO FARO 2 PACK,ND,2,RAFFAELLO,"18,69",No,Si,No
GE1E01500Q,3,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883397097,"AA VV  ",BILLY BOT GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01500Q,3,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO (1° BIENNIO),9788847307155,"AA VV  ",SI PUO' FARE 3,ND,3,CETEM,"26,71",No,Si,No
GE1E01500Q,4,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788851910051,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,Si,No
GE1E01500Q,4,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883398223,"AA  VV  ",GO KIDS GOLD 4,ND,1,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01500Q,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788847248854,"MEIANI ANTONELLA  ",NUVOLE DI PAROLE 4,ND,1,RAFFAELLO,"17,28",Si,Si,No
GE1E01500Q,4,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE,9788847248816,"SECCHI NICOLA - CANALI TIZIANA ",CHE MERAVIGLIA! 4 VOLUME UNICO,ND,1,RAFFAELLO,"21,46",Si,Si,No
GE1E01500Q,5,A,EE,CORSO A ORARIO ORDINARIO,RELIGIONE,9788851910051,FACCHINETTI ELENA - SECCHI PAOLA - GHIROTTO SUSANNA,BELLEZZA CI UNISCE (LA),VOLUME 2° CICLO,U,PIEMME SCUOLA,"8,19",No,No,No
GE1E01500Q,5,A,EE,CORSO A ORARIO ORDINARIO,LINGUA INGLESE,9788883398230,"AA  VV  ",GO KIDS GOLD 5,ND,2,PEARSON LONGMAN,"10,08",No,Si,No
GE1E01500Q,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO ANTROPOLOGICO),9788847307438,"AA VV  ",NEL CUORE DEI SAPERI STO-GEO 5,ND,2,CETEM,"12,50",No,Si,No
GE1E01500Q,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DELLE DISCIPLINE (AMBITO SCIENTIFICO),9788847307445,"AA VV  ",NEL CUORE DEI SAPERI MATE-SCI 5,ND,2,CETEM,"12,50",No,Si,No
GE1E01500Q,5,A,EE,CORSO A ORARIO ORDINARIO,SUSSIDIARIO DEI LINGUAGGI,9788847307407,STANO LAURA - ZAMPIGHI FLAVIA - BENELLI MARIA ROSA,NEL CUORE DELLE PAROLE 5,ND,2,CETEM,"20,96",No,Si,No
GE1E01100C,1,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9781292480374,"AA VV  ",MY DISNEY STARS AND HEROES LEVEL 1 STUDENT'S PACK,ND,1,PEARSON LONGMAN,"4,02",Si,Si,No
GE1E01100C,1,A,EE,27 ORE SETTIMANALI,IL LIBRO DELLA PRIMA CLASSE,9788847307544,"RESTAURI SIMONA - SANSONETTI EMILIA ",PEPPER 1 MEDODO 4 CARATTERI,ND,1,CETEM,"13,34",Si,Si,No
GE1E01100C,1,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788846845283,"PICARIELLO CARMINE  ",MIO LIBRO DI RELIGIONE 1-2-3 (IL),ND,U,LA SPIGA,"8,19",Si,Si,No
GE1E01100C,2,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788847237865,"LAGHI NOVELLA - FIORUCCI STEFANIA ",TESORO PREZIOSO 1-2-3 (IL),ND,U,RAFFAELLO,"8,19",No,No,No
GE1E01100C,2,B,EE,27 ORE SETTIMANALI,RELIGIONE,9788847237865,"LAGHI NOVELLA - FIORUCCI STEFANIA ",TESORO PREZIOSO 1-2-3 (IL),ND,U,RAFFAELLO,"8,19",No,No,No
GE1E01100C,2,A,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
GE1E01100C,2,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788883398209,"AA  VV  ",GO KIDS GOLD 2,ND,2,PEARSON LONGMAN,"6,03",No,Si,No
GE1E01100C,2,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846844835,"PROCOPIO MARIA A - CORASANITI GIULIA ",INCANTO 2,ND,2,LA SPIGA,"18,69",Si,Si,No
GE1E01100C,2,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846844835,"PROCOPIO MARIA A - CORASANITI GIULIA ",INCANTO 2,ND,2,LA SPIGA,"18,69",Si,Si,No
GE1E01100C,3,B,EE,27 ORE SETTIMANALI,LINGUA INGLESE,9788883398216,"AA  VV  ",GO KIDS GOLD 3,ND,3,PEARSON LONGMAN,"8,06",No,Si,No
GE1E01100C,3,A,EE,27 ORE SETTIMANALI,RELIGIONE,9788847237865,"LAGHI NOVELLA - FIORUCCI STEFANIA ",TESORO PREZIOSO 1-2-3 (IL),ND,U,RAFFAELLO,"8,19",No,No,No
GE1E01100C,3,A,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846843739,"AA VV  ",FESTA A SORPRESA 3,ND,3,LA SPIGA,"26,71",No,Si,No
GE1E01100C,3,B,EE,27 ORE SETTIMANALI,SUSSIDIARIO (1° BIENNIO),9788846843739,"AA VV  ",FESTA A SORPRESA 3,ND,3,LA SPIGA,"26,71",No,Si,No
