1. Popolazione analizzata
9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Efficacia della laurea nel lavoro svolto (%),,,
Molto efficace/Efficace,-,-,-
Abbastanza efficace,-,-,-
Poco/Per nulla efficace,-,-,-
"Soddisfazione per il lavoro svolto (medie, scala 1-10)",-,-,-
Occupati che cercano lavoro (%),-,-,-

3. Condizione occupazionale
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Tasso di occupazione,,,
Uomini,"92,1","92,5","92,0"
Donne,"88,3","89,6","87,5"
Totale,"89,9","90,6","89,5"
Laureati che non lavoravano alla laurea: tasso di occupazione,"89,0","90,5","88,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)","0,5","0,6","0,5"
Esperienze di lavoro post-laurea (%),,,
Non lavorano ma hanno lavorato dopo la laurea,"6,7","5,5","7,3"
Non hanno mai lavorato dopo la laurea,"3,5","3,9","3,2"
Tasso di disoccupazione,"3,9","3,5","4,2"
Ricerca del lavoro (%),,,
Non lavorano e non cercano,"6,0","5,8","6,1"
Non lavorano ma cercano,"4,1","3,6","4,4"

4. Ingresso nel mercato del lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Numero di occupati,54.867,18.831,36.036
Occupati: condizione occupazionale alla laurea (%),,,
Proseguono il lavoro iniziato prima della laurea,"8,6","4,5","10,7"
Non proseguono il lavoro iniziato prima della laurea,"17,3","11,3","20,4"
Hanno iniziato a lavorare dopo la laurea,"74,1","84,1","68,9"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,"2,3","3,0","1,9"
Tempo dall'inizio della ricerca al reperimento del primo lavoro,"4,7","5,2","4,4"
Tempo dalla laurea al reperimento del primo lavoro,"7,0","8,3","6,3"

5. Caratteristiche dell'attuale lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Professione svolta (%),,,
Imprenditori e alta dirigenza,"2,6","3,1","2,3"
"Professioni intellettuali, scientifiche e di elevata specializzazione","74,3","86,3","68,0"
Professioni tecniche,"16,7","6,5","22,0"
Professioni esecutive nel lavoro d'ufficio,"4,6","3,2","5,3"
Altre professioni,"1,8","0,9","2,3"
Tipologia dell'attività lavorativa (%),,,
Attività in proprio,"15,2","20,9","12,3"
Tempo indeterminato,"53,3","37,5","61,6"
Tempo determinato,"13,8","11,0","15,2"
Borsa o assegno di studio o di ricerca,"5,1","2,5","6,4"
Contratti formativi,"10,0","25,4","1,9"
Altre forme contrattuali,"2,1","2,0","2,2"
Senza contratto,"0,3","0,6","0,2"
Diffusione dello smart working (%),"31,2","18,0","38,0"
Diffusione del part-time (%),"7,0","5,5","7,8"
Diffusione del part-time involontario (%),"3,9","2,6","4,6"
Numero di ore settimanali di lavoro (medie),"37,8","39,1","37,1"

6. Caratteristiche dell'impresa
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Settore di attività (%),,,
Pubblico,"38,1","52,5","30,6"
Privato,"59,2","46,8","65,7"
Non profit,"2,6","0,6","3,6"
Ramo di attività economica (%),,,
Agricoltura,"0,7","0,2","1,0"
Metalmeccanica e meccanica di precisione,"4,5","0,6","6,5"
Edilizia,"3,9","4,0","3,8"
Chimica/Energia,"5,6","3,9","6,5"
Altra industria manifatturiera,"4,2","0,9","5,8"
Totale industria,"18,1","9,4","22,7"
Commercio,"5,9","8,6","4,5"
"Credito, assicurazioni","4,4","3,2","5,0"
"Trasporti, pubblicità, comunicazioni","3,8","1,3","5,2"
Consulenze varie,"13,9","17,2","12,2"
Informatica,"3,8","0,5","5,5"
Altri servizi alle imprese,"2,2","1,3","2,7"
"Pubblica amministrazione, forze armate","6,3","8,8","4,9"
Istruzione e ricerca,"23,2","21,2","24,3"
Sanità,"13,3","27,1","6,1"
Altri servizi,"3,9","0,8","5,6"
Totale servizi,"80,7","90,1","75,8"
Ripartizione geografica di lavoro (%),,,
Nord-Ovest,"27,6","25,6","28,7"
Nord-Est,"20,6","19,9","20,9"
Centro,"22,8","23,8","22,3"
Sud,"16,9","19,4","15,6"
Isole,"6,7","8,4","5,8"
Estero,"5,2","2,7","6,5"

7. Retribuzione
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
"Retribuzione mensile netta (medie, in euro)",,,
Uomini,1.994,1.991,1.995
Donne,1.715,1.759,1.688
Totale,1.832,1.842,1.827
"Laureati che non lavoravano alla laurea: retribuzione mensile netta (medie, in euro)",1.825,1.840,1.815

8. Utilizzo e richiesta della laurea nell'attuale lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%),"60,8","68,3","59,2"
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,
Dal punto di vista economico,"11,5","12,9","11,1"
Nella posizione lavorativa,"33,2","39,8","31,5"
Nelle mansioni svolte,"10,7","9,0","11,1"
Nelle competenze professionali,"44,1","37,2","45,8"
Sotto altri punti di vista,"0,6","1,2","0,4"
Utilizzo delle competenze acquisite con la laurea (%),,,
In misura elevata,"63,9","75,5","57,8"
In misura ridotta,"30,7","21,8","35,3"
Per niente,"5,3","2,6","6,7"
Adeguatezza della formazione professionale acquisita all'università (%),,,
Molto adeguata,"69,1","72,8","67,2"
Poco adeguata,"26,1","23,6","27,4"
Per niente adeguata,"4,6","3,5","5,2"
Richiesta della laurea per l'attività lavorativa (%),,,
Richiesta per legge,"55,1","78,9","42,7"
Non richiesta ma necessaria,"21,0","11,2","26,2"
Non richiesta ma utile,"20,1","8,5","26,2"
Non richiesta né utile,"3,6","1,3","4,7"

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,laurea magistrale a ciclo unico,laurea magistrale biennale,(1)
Efficacia della laurea nel lavoro svolto (%),,,
Molto efficace/Efficace,"75,3","88,6","68,3"
Abbastanza efficace,"19,5","9,3","24,8"
Poco/Per nulla efficace,"5,2","2,1","6,9"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)","7,9","7,9","7,9"
Occupati che cercano lavoro (%),"17,5","16,8","17,8"

