antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SISTEMI INFORMATIVI AZIENDALI', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})","frozenset({'SCIENTIFICO', 'COSTR., AMB. E TERRITORIO - BIENNIO COM.'})",0.18095930232558138,0.2063953488372093,0.15334302325581395,0.8473895582329317,4.105662084959556,1.0,0.11599386492698756,5.2001988984088126,0.9235608523236204,0.6552795031055901,0.8076996631213499,0.7951736523559025
"frozenset({'LINGUISTICO', 'SISTEMI INFORMATIVI AZIENDALI', 'SCIENZE UMANE'})",frozenset({'CLASSICO'}),0.18095930232558138,0.34084302325581395,0.15334302325581395,0.8473895582329317,2.4861578510202857,1.0,0.09166430756489995,4.3192128212974294,0.7298452041026589,0.41617357001972394,0.768476330902441,0.6486414742124147
"frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'CLASSICO'})",frozenset({'SISTEMI INFORMATIVI AZIENDALI'}),0.21875,0.31976744186046513,0.18531976744186046,0.8471760797342193,2.6493506493506493,1.0,0.11537063953488372,4.451086956521739,0.7968627450980392,0.5246913580246914,0.7753357753357754,0.7133607671398369
"frozenset({'ELETTR. ED ELETTROTEC.- BIENNIO COMUNE', 'AMM. FINAN. MARKETING - BIENNIO COMUNE'})","frozenset({'SCIENTIFICO', 'AMMINISTRAZIONE FINANZA E MARKETING - TRIENNIO'})",0.18531976744186046,0.32194767441860467,0.1569767441860465,0.8470588235294118,2.6310450139423716,1.0,0.09731347603434289,4.433419051878354,0.7609401328179206,0.4481327800829875,0.7744404514217264,0.6673217368211393
"frozenset({'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'LINGUISTICO', 'SCIENTIFICO'})",0.18531976744186046,0.36773255813953487,0.1569767441860465,0.8470588235294118,2.303464310625436,1.0,0.08882863203082748,4.134056350626118,0.694593121221132,0.3963302752293579,0.7581068289384719,0.6369681469425715
"frozenset({'LINGUISTICO', 'SCIENTIFICO', 'SCIENZE UMANE'})",frozenset({'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'}),0.2565406976744186,0.4484011627906977,0.21729651162790697,0.8470254957507082,1.8889904086758094,1.0,0.10226336448756083,3.605822028423772,0.6330093468943399,0.4456035767511177,0.7226707274742745,0.6658142065463427
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'SCIENZE UMANE'})",frozenset({'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'}),0.19476744186046513,0.4484011627906977,0.16497093023255813,0.8470149253731342,1.888966835191949,1.0,0.07763698282855595,3.6055728871242163,0.584439956106172,0.34498480243161084,0.7226515643128228,0.6074620818113645
"frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE', 'CLASSICO', 'SCIENTIFICO - OPZIONE SCIENZE APPLICATE'})","frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO'})",0.18968023255813954,0.2558139534883721,0.16061046511627908,0.8467432950191571,3.3099965168930687,1.0,0.11208761492698757,4.855813953488373,0.8612462715337946,0.5637755102040817,0.7940613026819924,0.7372921020550331
"frozenset({'SISTEMI INFORMATIVI AZIENDALI', 'SCIENTIFICO'})","frozenset({'LINGUISTICO', 'AMM. FINAN. MARKETING - BIENNIO COMUNE'})",0.2558139534883721,0.29069767441860467,0.21656976744186046,0.8465909090909091,2.912272727272727,1.0,0.1422052460789616,4.623600344530575,0.8823406040268456,0.6563876651982377,0.7837183308494785,0.7957954545454545
"frozenset({'LINGUISTICO', 'SCIENTIFICO', 'COSTRUZIONI AMBIENTE E TERRITORIO - TRIENNIO'})",frozenset({'SCIENZE UMANE'}),0.17950581395348839,0.3502906976744186,0.15188953488372092,0.846153846153846,2.415576125119693,1.0,0.08901031807733908,4.223110465116275,0.7142281987277558,0.4019230769230769,0.7632077095164342,0.6398819023300351
