DATAFLOW,LAST UPDATE,freq,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,BG,2021,15.8,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,BG,2022,10.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,BG,2023,12.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,BG,2024,12.3,b,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,BG,2025,13.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2009,13.8,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2010,16.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2011,22.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2012,27.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2013,38.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2014,36.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2015,32.8,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2016,29.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2017,24.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2018,20.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2019,17.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2020,17.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2021,17.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2022,18.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2023,16.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2024,13.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CY,2025,13.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2009,16.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2010,18.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2011,18.1,b,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2012,19.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2013,19.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2014,15.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2015,12.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2016,10.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2017,7.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2018,6.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2019,5.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2020,8.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2021,8.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2022,6.8,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2023,8.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2024,9.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,CZ,2025,10.4,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2009,11.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2010,10.5,b,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2011,9.1,b,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2012,8.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2013,8.3,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2014,8.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2015,7.7,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2016,7.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2017,7.2,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2018,6.6,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2019,6.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2020,7.9,b,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2021,7.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2022,6.0,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2023,5.9,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2024,6.5,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DE,2025,7.1,,
ESTAT:TIPSLM80(1.0),29/04/26 23:00:00,A,Y15-24,T,PC_ACT,DK,2009,13.5,,
