1. Popolazione analizzata
Non richiesta ma necessaria,-,-,-
Non richiesta ma utile,-,-,-
Non richiesta né utile,-,-,-

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Efficacia della laurea nel lavoro svolto (%),,,
Molto efficace/Efficace,-,-,-
Abbastanza efficace,-,-,-
Poco/Per nulla efficace,-,-,-
"Soddisfazione per il lavoro svolto (medie, scala 1-10)",-,-,-
Occupati che cercano lavoro (%),-,-,-

3. Condizione occupazionale
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Tasso di occupazione,,,
Uomini,"91,8","90,6","92,1"
Donne,"87,5","87,6","87,4"
Totale,"89,3","88,6","89,5"
Laureati che non lavoravano alla laurea: tasso di occupazione,"88,1","88,2","88,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)","0,9","1,4","0,8"
Esperienze di lavoro post-laurea (%),,,
Non lavorano ma hanno lavorato dopo la laurea,"6,8","5,9","7,2"
Non hanno mai lavorato dopo la laurea,"3,9","5,4","3,4"
Tasso di disoccupazione,"4,5","4,1","4,7"
Ricerca del lavoro (%),,,
Non lavorano e non cercano,"5,4","6,5","5,0"
Non lavorano ma cercano,"5,3","4,9","5,5"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Numero di occupati,71.362,18.917,52.445
Occupati: condizione occupazionale alla laurea (%),,,
Proseguono il lavoro iniziato prima della laurea,"11,9","7,4","13,5"
Non proseguono il lavoro iniziato prima della laurea,"17,8","12,3","19,7"
Hanno iniziato a lavorare dopo la laurea,"70,3","80,3","66,7"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,"1,4","1,6","1,3"
Tempo dall'inizio della ricerca al reperimento del primo lavoro,"3,5","3,6","3,4"
Tempo dalla laurea al reperimento del primo lavoro,"4,9","5,2","4,8"

5. Caratteristiche dell'attuale lavoro
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Professione svolta (%),,,
Imprenditori e alta dirigenza,"1,0","0,8","1,0"
"Professioni intellettuali, scientifiche e di elevata specializzazione","68,2","85,8","61,8"
Professioni tecniche,"20,7","6,7","25,7"
Professioni esecutive nel lavoro d'ufficio,"8,0","5,4","8,9"
Altre professioni,"2,2","1,3","2,5"
Tipologia dell'attività lavorativa (%),,,
Attività in proprio,"11,6","16,5","9,9"
Tempo indeterminato,"43,4","25,3","49,9"
Tempo determinato,"17,5","16,0","18,1"
Borsa o assegno di studio o di ricerca,"9,6","4,1","11,6"
Contratti formativi,"14,4","34,8","7,1"
Altre forme contrattuali,"2,8","2,4","3,0"
Senza contratto,"0,4","0,8","0,3"
Diffusione dello smart working (%),"32,8","15,6","39,0"
Diffusione del part-time (%),"8,5","6,2","9,4"
Diffusione del part-time involontario (%),"5,3","2,9","6,1"
Numero di ore settimanali di lavoro (medie),"37,9","39,0","37,6"

6. Caratteristiche dell'impresa
,Collettivo selezionato,laurea magistrale a ciclo unico,laurea magistrale biennale
Settore di attività (%),,,
Pubblico,"35,7","54,7","28,8"
Privato,"61,1","44,5","67,0"
Non profit,"3,2","0,7","4,1"
Ramo di attività economica (%),,,
Agricoltura,"0,9","0,2","1,1"
Metalmeccanica e meccanica di precisione,"5,0","0,5","6,6"
