1. Popolazione analizzata
Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%),,,,
Dal punto di vista economico,-,-,-,-
Nella posizione lavorativa,-,-,-,-
Nelle mansioni svolte,-,-,-,-
Nelle competenze professionali,-,-,-,-
Sotto altri punti di vista,-,-,-,-
Utilizzo delle competenze acquisite con la laurea (%),,,,
In misura elevata,-,-,-,-
In misura ridotta,-,-,-,-
Per niente,-,-,-,-
Adeguatezza della formazione professionale acquisita all'università (%),,,,
Molto adeguata,-,-,-,-
Poco adeguata,-,-,-,-
Per niente adeguata,-,-,-,-
Richiesta della laurea per l'attività lavorativa (%),,,,
Richiesta per legge,-,-,-,-
Non richiesta ma necessaria,-,-,-,-
Non richiesta ma utile,-,-,-,-
Non richiesta né utile,-,-,-,-

9. Efficacia della laurea e soddisfazione per l'attuale lavoro
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Efficacia della laurea nel lavoro svolto (%),,,,
Molto efficace/Efficace,-,-,-,-
Abbastanza efficace,-,-,-,-
Poco/Per nulla efficace,-,-,-,-
"Soddisfazione per il lavoro svolto (medie, scala 1-10)",-,-,-,-
Occupati che cercano lavoro (%),-,-,-,-

3. Condizione occupazionale
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Tasso di occupazione,,,,
Uomini,"61,3","43,9","78,6","84,7"
Donne,"59,4","45,1","76,9","76,8"
Totale,"60,2","44,6","77,5","80,1"
Laureati che non lavoravano alla laurea: tasso di occupazione,"51,6","32,9","75,7","75,5"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%)","24,9","42,3","7,4","1,9"
Esperienze di lavoro post-laurea (%),,,,
Non lavorano ma hanno lavorato dopo la laurea,"12,0","14,3","7,3","9,6"
Non hanno mai lavorato dopo la laurea,"27,8","41,1","15,2","10,3"
Tasso di disoccupazione,"11,0","12,3","7,4","10,7"
Ricerca del lavoro (%),,,,
Non lavorano e non cercano,"29,3","45,5","14,4","7,8"
Non lavorano ma cercano,"10,5","9,9","8,1","12,1"

4. Ingresso nel mercato del lavoro
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Numero di occupati,120.299,49.459,15.704,55.136
Occupati: condizione occupazionale alla laurea (%),,,,
Proseguono il lavoro iniziato prima della laurea,"26,3","32,9","11,1","24,8"
Non proseguono il lavoro iniziato prima della laurea,"16,7","17,4","12,0","17,3"
Hanno iniziato a lavorare dopo la laurea,"57,0","49,7","76,9","57,9"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi)",,,,
Tempo dalla laurea all'inizio della ricerca del primo lavoro,"0,9","1,0","0,8","0,8"
Tempo dall'inizio della ricerca al reperimento del primo lavoro,"2,4","2,3","2,4","2,5"
Tempo dalla laurea al reperimento del primo lavoro,"3,3","3,3","3,2","3,2"

5. Caratteristiche dell'attuale lavoro
,Collettivo selezionato,laurea di primo livello,laurea magistrale a ciclo unico,laurea magistrale biennale
Professione svolta (%),,,,
Imprenditori e alta dirigenza,"1,2","1,8","0,5","0,9"
"Professioni intellettuali, scientifiche e di elevata specializzazione","44,9","19,7","87,1","55,4"
Professioni tecniche,"34,7","48,4","6,6","30,4"
Professioni esecutive nel lavoro d'ufficio,"9,8","12,0","4,1","9,4"
Altre professioni,"9,5","18,0","1,6","4,0"
Tipologia dell'attività lavorativa (%),,,,
Attività in proprio,"8,7","9,2","13,4","7,0"
Tempo indeterminato,"30,0","32,1","13,9","32,7"
Tempo determinato,"25,3","27,9","23,1","23,5"
Borsa o assegno di studio o di ricerca,"6,8","1,1","4,8","12,4"
Contratti formativi,"19,2","13,7","40,5","18,1"
Altre forme contrattuali,"7,9","12,1","3,5","5,5"
Senza contratto,"1,9","3,6","0,6","0,7"
Diffusione dello smart working (%),"24,6","16,9","9,8","35,7"
Diffusione del part-time (%),"22,3","34,6","13,9","13,8"
Diffusione del part-time involontario (%),"10,5","13,5","6,8","8,8"
Numero di ore settimanali di lavoro (medie),"35,1","32,5","36,8","37,0"

